bst,lista,search_pool_size
-20,-2000,2000
19,632,2000
-11,-2000,2000
20,1204,2000
-12,-2000,2000
-16,-2000,2000
15,1922,2000
-16,-2000,2000
7,189,2000
16,392,2000
11,141,2000
13,692,2000
16,1802,2000
16,1235,2000
13,930,2000
-18,-2000,2000
15,415,2000
17,1302,2000
-20,-2000,2000
10,186,2000
-14,-2000,2000
22,1393,2000
15,1292,2000
9,1732,2000
-21,-2000,2000
12,251,2000
-15,-2000,2000
5,21,2000
-19,-2000,2000
9,86,2000
12,269,2000
15,1500,2000
26,1010,2000
18,1944,2000
12,231,2000
11,88,2000
7,314,2000
10,1006,2000
-17,-2000,2000
13,1432,2000
15,692,2000
12,674,2000
16,703,2000
8,135,2000
20,1164,2000
18,1960,2000
16,440,2000
16,390,2000
13,421,2000
12,1719,2000
-14,-2000,2000
4,33,2000
18,1435,2000
19,843,2000
4,24,2000
-17,-2000,2000
15,1114,2000
-11,-2000,2000
11,1194,2000
8,1544,2000
-15,-2000,2000
8,57,2000
17,1076,2000
13,1561,2000
16,449,2000
-18,-2000,2000
14,1159,2000
-20,-2000,2000
-16,-2000,2000
7,23,2000
8,115,2000
15,382,2000
16,1437,2000
12,183,2000
-11,-2000,2000
14,1054,2000
19,1054,2000
13,299,2000
-10,-2000,2000
12,365,2000
-18,-2000,2000
16,749,2000
17,1889,2000
19,1447,2000
10,153,2000
-16,-2000,2000
15,638,2000
-19,-2000,2000
-9,-2000,2000
16,501,2000
16,1055,2000
15,868,2000
10,360,2000
16,399,2000
-19,-2000,2000
16,921,2000
9,426,2000
11,389,2000
18,1920,2000
12,182,2000
